E_lab	E*/MeV	174Au	175Au	176Au	177Au	178Au	179Au
341.350	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.555E-05	0.151E-02
345.263	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-02	0.225E-01
349.177	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.265E-01	0.141E+00
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.201E+00	0.415E+00
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.150E-04	0.782E+00	0.759E+00
360.916	30.0	0.000E+00	0.000E+00	0.000E+00	0.163E-02	0.202E+01	0.987E+00
364.829	32.0	0.000E+00	0.000E+00	0.000E+00	0.381E-01	0.388E+01	0.973E+00
368.742	34.0	0.000E+00	0.000E+00	0.000E+00	0.291E+00	0.582E+01	0.755E+00
372.655	36.0	0.000E+00	0.000E+00	0.000E+00	0.108E+01	0.698E+01	0.478E+00
376.568	38.0	0.000E+00	0.000E+00	0.000E+00	0.247E+01	0.682E+01	0.254E+00
380.481	40.0	0.000E+00	0.000E+00	0.242E-04	0.413E+01	0.554E+01	0.117E+00
384.394	42.0	0.000E+00	0.000E+00	0.980E-03	0.561E+01	0.383E+01	0.477E-01
388.307	44.0	0.000E+00	0.000E+00	0.124E-01	0.654E+01	0.231E+01	0.178E-01
392.220	46.0	0.000E+00	0.000E+00	0.701E-01	0.677E+01	0.125E+01	0.622E-02
396.133	48.0	0.000E+00	0.000E+00	0.228E+00	0.628E+01	0.624E+00	0.207E-02
400.046	50.0	0.000E+00	0.575E-06	0.509E+00	0.526E+01	0.290E+00	0.660E-03
403.959	52.0	0.000E+00	0.267E-04	0.875E+00	0.398E+01	0.128E+00	0.204E-03
407.872	54.0	0.000E+00	0.408E-03	0.124E+01	0.276E+01	0.541E-01	0.606E-04
411.785	56.0	0.000E+00	0.286E-02	0.153E+01	0.176E+01	0.221E-01	0.169E-04
415.698	58.0	0.000E+00	0.118E-01	0.166E+01	0.105E+01	0.882E-02	0.399E-05
419.611	60.0	0.000E+00	0.332E-01	0.161E+01	0.592E+00	0.343E-02	0.000E+00
423.524	62.0	0.000E+00	0.710E-01	0.142E+01	0.316E+00	0.131E-02	0.000E+00
427.437	64.0	0.138E-05	0.123E+00	0.114E+01	0.162E+00	0.488E-03	0.000E+00
431.350	66.0	0.197E-04	0.181E+00	0.845E+00	0.800E-01	0.178E-03	0.000E+00
435.263	68.0	0.143E-03	0.232E+00	0.584E+00	0.383E-01	0.636E-04	0.000E+00
439.177	70.0	0.630E-03	0.264E+00	0.381E+00	0.179E-01	0.220E-04	0.000E+00
443.090	72.0	0.195E-02	0.271E+00	0.235E+00	0.818E-02	0.696E-05	0.000E+00
447.003	74.0	0.460E-02	0.254E+00	0.139E+00	0.366E-02	0.168E-05	0.000E+00
450.916	76.0	0.885E-02	0.219E+00	0.794E-01	0.160E-02	0.000E+00	0.000E+00
454.829	78.0	0.145E-01	0.175E+00	0.437E-01	0.691E-03	0.000E+00	0.000E+00
458.742	80.0	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
462.655	82.0	0.266E-01	0.940E-01	0.123E-01	0.122E-03	0.000E+00	0.000E+00
466.568	84.0	0.308E-01	0.639E-01	0.626E-02	0.500E-04	0.000E+00	0.000E+00
470.481	86.0	0.325E-01	0.416E-01	0.314E-02	0.199E-04	0.000E+00	0.000E+00
474.394	88.0	0.317E-01	0.262E-01	0.154E-02	0.774E-05	0.000E+00	0.000E+00
478.307	90.0	0.288E-01	0.159E-01	0.747E-03	0.271E-05	0.000E+00	0.000E+00
482.220	92.0	0.245E-01	0.944E-02	0.356E-03	0.529E-06	0.000E+00	0.000E+00
486.133	94.0	0.198E-01	0.546E-02	0.167E-03	0.000E+00	0.000E+00	0.000E+00
490.046	96.0	0.151E-01	0.309E-02	0.771E-04	0.000E+00	0.000E+00	0.000E+00
493.959	98.0	0.111E-01	0.171E-02	0.351E-04	0.000E+00	0.000E+00	0.000E+00
