E_lab E*/MeV 174Hg 175Hg 176Hg 177Hg 178Hg 179Hg 180Hg
351.133 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.579E-07 0.415E-07 0.723E-13
353.090 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.254E-06 0.763E-07 0.710E-13
355.046 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.674E-04 0.145E-03 0.926E-07
357.003 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.428E-03 0.818E-03 0.107E-05
358.959 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-02 0.233E-02 0.297E-05
360.916 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.752E-02 0.556E-02 0.512E-05
362.872 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.288E-01 0.126E-01 0.808E-05
364.829 32.0 0.000E+00 0.000E+00 0.000E+00 0.362E-07 0.103E+00 0.273E-01 0.123E-04
366.785 33.0 0.000E+00 0.000E+00 0.000E+00 0.872E-05 0.327E+00 0.550E-01 0.180E-04
368.742 34.0 0.000E+00 0.000E+00 0.000E+00 0.319E-03 0.828E+00 0.958E-01 0.236E-04
370.698 35.0 0.000E+00 0.000E+00 0.000E+00 0.347E-02 0.152E+01 0.132E+00 0.253E-04
372.655 36.0 0.000E+00 0.000E+00 0.000E+00 0.156E-01 0.206E+01 0.139E+00 0.198E-04
374.611 37.0 0.000E+00 0.000E+00 0.000E+00 0.410E-01 0.225E+01 0.116E+00 0.721E-05
376.568 38.0 0.000E+00 0.000E+00 0.000E+00 0.798E-01 0.212E+01 0.806E-01 0.000E+00
378.524 39.0 0.000E+00 0.000E+00 0.000E+00 0.130E+00 0.181E+01 0.503E-01 0.000E+00
380.481 40.0 0.000E+00 0.000E+00 0.000E+00 0.189E+00 0.145E+01 0.294E-01 0.000E+00
382.437 41.0 0.000E+00 0.000E+00 0.000E+00 0.252E+00 0.111E+01 0.167E-01 0.000E+00
384.394 42.0 0.000E+00 0.000E+00 0.940E-07 0.317E+00 0.824E+00 0.928E-02 0.000E+00
386.350 43.0 0.000E+00 0.000E+00 0.216E-05 0.380E+00 0.593E+00 0.512E-02 0.000E+00
388.307 44.0 0.000E+00 0.000E+00 0.216E-04 0.436E+00 0.417E+00 0.280E-02 0.000E+00
390.263 45.0 0.000E+00 0.000E+00 0.125E-03 0.482E+00 0.287E+00 0.153E-02 0.000E+00
392.220 46.0 0.000E+00 0.000E+00 0.487E-03 0.513E+00 0.194E+00 0.830E-03 0.000E+00
394.177 47.0 0.000E+00 0.000E+00 0.139E-02 0.523E+00 0.129E+00 0.450E-03 0.000E+00
396.133 48.0 0.000E+00 0.000E+00 0.314E-02 0.513E+00 0.843E-01 0.243E-03 0.000E+00
398.090 49.0 0.000E+00 0.000E+00 0.601E-02 0.483E+00 0.546E-01 0.131E-03 0.000E+00
400.046 50.0 0.000E+00 0.000E+00 0.101E-01 0.437E+00 0.349E-01 0.702E-04 0.000E+00
402.003 51.0 0.000E+00 0.000E+00 0.155E-01 0.382E+00 0.221E-01 0.373E-04 0.000E+00
403.959 52.0 0.000E+00 0.000E+00 0.220E-01 0.324E+00 0.139E-01 0.196E-04 0.000E+00
405.916 53.0 0.000E+00 0.000E+00 0.294E-01 0.266E+00 0.867E-02 0.957E-05 0.000E+00
407.872 54.0 0.000E+00 0.000E+00 0.374E-01 0.213E+00 0.537E-02 0.410E-05 0.000E+00
409.829 55.0 0.000E+00 0.000E+00 0.455E-01 0.167E+00 0.331E-02 0.766E-06 0.000E+00
411.785 56.0 0.000E+00 0.149E-06 0.531E-01 0.128E+00 0.203E-02 0.000E+00 0.000E+00
413.742 57.0 0.000E+00 0.114E-05 0.598E-01 0.959E-01 0.124E-02 0.000E+00 0.000E+00
415.698 58.0 0.000E+00 0.582E-05 0.649E-01 0.708E-01 0.756E-03 0.000E+00 0.000E+00
417.655 59.0 0.000E+00 0.216E-04 0.680E-01 0.515E-01 0.459E-03 0.000E+00 0.000E+00
419.611 60.0 0.000E+00 0.619E-04 0.689E-01 0.370E-01 0.278E-03 0.000E+00 0.000E+00
421.568 61.0 0.000E+00 0.145E-03 0.675E-01 0.262E-01 0.168E-03 0.000E+00 0.000E+00
423.524 62.0 0.000E+00 0.292E-03 0.641E-01 0.184E-01 0.101E-03 0.000E+00 0.000E+00
425.481 63.0 0.000E+00 0.520E-03 0.592E-01 0.128E-01 0.605E-04 0.000E+00 0.000E+00
427.437 64.0 0.000E+00 0.842E-03 0.532E-01 0.881E-02 0.360E-04 0.000E+00 0.000E+00
429.394 65.0 0.000E+00 0.126E-02 0.466E-01 0.603E-02 0.214E-04 0.000E+00 0.000E+00
431.350 66.0 0.000E+00 0.178E-02 0.399E-01 0.409E-02 0.126E-04 0.000E+00 0.000E+00
433.307 67.0 0.200E-07 0.237E-02 0.334E-01 0.276E-02 0.728E-05 0.000E+00 0.000E+00
435.263 68.0 0.114E-06 0.300E-02 0.275E-01 0.186E-02 0.417E-05 0.000E+00 0.000E+00
437.220 69.0 0.481E-06 0.365E-02 0.222E-01 0.124E-02 0.226E-05 0.000E+00 0.000E+00
439.177 70.0 0.158E-05 0.426E-02 0.176E-01 0.825E-03 0.106E-05 0.000E+00 0.000E+00
441.133 71.0 0.421E-05 0.479E-02 0.138E-01 0.547E-03 0.302E-06 0.000E+00 0.000E+00
443.090 72.0 0.961E-05 0.520E-02 0.107E-01 0.361E-03 0.000E+00 0.000E+00 0.000E+00
445.046 73.0 0.193E-04 0.545E-02 0.818E-02 0.237E-03 0.000E+00 0.000E+00 0.000E+00
447.003 74.0 0.348E-04 0.554E-02 0.618E-02 0.156E-03 0.000E+00 0.000E+00 0.000E+00
448.959 75.0 0.579E-04 0.547E-02 0.463E-02 0.102E-03 0.000E+00 0.000E+00 0.000E+00
450.916 76.0 0.895E-04 0.526E-02 0.344E-02 0.661E-04 0.000E+00 0.000E+00 0.000E+00
452.872 77.0 0.130E-03 0.494E-02 0.253E-02 0.428E-04 0.000E+00 0.000E+00 0.000E+00
454.829 78.0 0.179E-03 0.453E-02 0.185E-02 0.276E-04 0.000E+00 0.000E+00 0.000E+00
456.785 79.0 0.234E-03 0.406E-02 0.134E-02 0.178E-04 0.000E+00 0.000E+00 0.000E+00
