E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At	204At	205At
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.301E-11	0.680E-06	0.110E-06	0.136E-09	0.000E+00	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.198E-09	0.231E-05	0.236E-06	0.242E-09	0.000E+00	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.235E-07	0.642E-03	0.177E-03	0.126E-05	0.000E+00	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.805E-06	0.292E-02	0.621E-03	0.498E-05	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.150E-04	0.102E-01	0.156E-02	0.119E-04	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.188E-03	0.337E-01	0.358E-02	0.243E-04	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.170E-02	0.107E+00	0.793E-02	0.471E-04	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.116E-01	0.321E+00	0.169E-01	0.887E-04	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.600E-01	0.864E+00	0.336E-01	0.159E-03	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.220E+00	0.189E+01	0.570E-01	0.254E-03	0.000E+00	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.227E-05	0.541E+00	0.307E+01	0.771E-01	0.339E-03	0.000E+00	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.299E-04	0.946E+00	0.381E+01	0.834E-01	0.368E-03	0.000E+00	0.000E+00
179.310	57.0	0.000E+00	0.000E+00	0.228E-03	0.132E+01	0.390E+01	0.762E-01	0.332E-03	0.000E+00	0.000E+00
180.552	58.0	0.000E+00	0.000E+00	0.116E-02	0.161E+01	0.352E+01	0.616E-01	0.258E-03	0.000E+00	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.427E-02	0.182E+01	0.292E+01	0.453E-01	0.178E-03	0.000E+00	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.122E-01	0.195E+01	0.230E+01	0.312E-01	0.112E-03	0.000E+00	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.284E-01	0.201E+01	0.174E+01	0.205E-01	0.665E-04	0.000E+00	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.562E-01	0.201E+01	0.129E+01	0.130E-01	0.371E-04	0.000E+00	0.000E+00
186.765	63.0	0.000E+00	0.000E+00	0.975E-01	0.195E+01	0.933E+00	0.814E-02	0.194E-04	0.000E+00	0.000E+00
188.007	64.0	0.000E+00	0.000E+00	0.152E+00	0.184E+01	0.666E+00	0.502E-02	0.886E-05	0.000E+00	0.000E+00
189.249	65.0	0.000E+00	0.000E+00	0.218E+00	0.169E+01	0.470E+00	0.308E-02	0.244E-05	0.000E+00	0.000E+00
190.492	66.0	0.000E+00	0.000E+00	0.292E+00	0.152E+01	0.328E+00	0.188E-02	0.000E+00	0.000E+00	0.000E+00
191.734	67.0	0.000E+00	0.958E-06	0.368E+00	0.133E+01	0.227E+00	0.114E-02	0.000E+00	0.000E+00	0.000E+00
192.977	68.0	0.000E+00	0.608E-05	0.442E+00	0.114E+01	0.156E+00	0.692E-03	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.000E+00	0.285E-04	0.509E+00	0.952E+00	0.106E+00	0.418E-03	0.000E+00	0.000E+00	0.000E+00
